AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[7],PHKCalcAlk,580,Serra Negra do Norte,ZEF25B,156,815,0.191411043,0.617,,0.711477,
[14],PHKCalcAlk,575,Serrinha,ES31L,146,423,0.345153664,1.097,,0.736992,
[14],PHKCalcAlk,575,Serrinha,ES31G,127,478,0.265690377,0.769,,0.713463,
[14],PHKCalcAlk,575,Serrinha,ES31I,119,392,0.303571429,1.051,,0.71253,
[14],PHKCalcAlk,580,Totoro,ZEF5,204,174,1.172413793,3.336,,0.732481,
[7],PHKCalcAlk,580,Totoro,ED-163A,124,449,0.276169265,0.81,,0.70684,
[5],PHKCalcAlk,580,Tourao,UGC10B,246,122.8,2.003257329,5.826,0.07,0.76004,0.00012
[5],PHKCalcAlk,580,Tourao,UGC9,306.7,162.9,1.882750153,5.474,0.066,0.75708,0.00005
[5],PHKCalcAlk,580,Tourao,UGC78,320.4,219.7,1.458352299,4.324,0.054,0.74471,0.00004
[5],PHKCalcAlk,580,Tourao,UGC222,209.4,228.4,0.916812609,2.659,0.027,0.73239,0.00005
[5],PHKCalcAlk,580,Tourao,UGC183A,202.8,270.9,0.748615725,2.17,0.023,0.72857,0.00017
[5],PHKCalcAlk,580,Tourao,UGC124B,182.2,368.9,0.493900786,1.434,0.014,0.72231,0.00007
[11],ChAlk,601,Umarizal,UCG-57,116.5,104.7,1.112702961,1.11,,0.737892,
[11],ChAlk,601,Umarizal,UCG-54,121.1,107.5,1.126511628,1.13,,0.737564,
[11],ChAlk,601,Umarizal,UCG-48,154.8,155.7,0.994219653,0.99,,0.733779,
[11],ChAlk,601,Umarizal,UCG-18,106.9,122.9,0.869812856,0.87,,0.731593,
[11],ChAlk,601,Umarizal,UCG-02,105.3,125.2,0.841054313,0.84,,0.730949,
[11],ChAlk,601,Umarizal,UCG-45,154.7,178.6,0.866181411,0.87,,0.730841,
[11],ChAlk,601,Umarizal,UCG-11,162.4,201.1,0.807558429,0.81,,0.730203,
[11],ChAlk,601,Umarizal,UCG-44,108.9,183.8,0.592491839,0.59,,0.725642,
[11],ChAlk,601,Umarizal,UCG-334,99.2,241.9,0.410086813,0.41,,0.721287,
[3],Paleoproterozoic,,Augen gnaisse,B-18-1,111.5,224.1,0.497545739,1.45,,0.7629,
[3],Paleoproterozoic,,Augen gnaisse,B-18-2,94.7,286.1,0.331003146,0.96,,0.7364,
[3],Paleoproterozoic,,Biotita gnaisse,B-18-4,146.3,343.5,0.425909753,1.24,,0.7357,
[3],Paleoproterozoic,,Biotita gnaisse,B-18-5,44.2,452,0.097787611,0.28,,0.7337,
[2],Paleoproterozoic,,Epibolito,SSD-87,81.4,465,0.175053763,0.51,,0.7164,
[2],Paleoproterozoic,,Gnaisse granítico,SSD-B11,87.8,76.6,1.146214099,3.37,,0.8588,
[3],Paleoproterozoic,,Gnaisse granítico,CSJ-6,213.7,356.8,0.598934978,1.74,,0.7689,
[3],Paleoproterozoic,,Gnaisse granítico,CSJ-8.2,84.4,507.1,0.1664366,0.48,,0.7253,
[3],Paleoproterozoic,,Gnaisse granodiorítico,CL-19,89.3,204.1,0.437530622,1.27,,0.7538,
[3],Paleoproterozoic,,Gnaisse granodiorítico,CSJ-1,98.2,233,0.421459227,1.22,,0.7475,
[3],Paleoproterozoic,,Gnaisse granodiorítico,CL-20,107.2,493.4,0.217267937,0.67,,0.7201,
[3],Paleoproterozoic,,Gnaisse granodiorítico,B-18-3,200.3,1656.2,0.1209395,0.35,,0.7156,
[3],Paleoproterozoic,,Gnaisse granodiorítico,CSJ-4,30.1,441,0.068253968,0.2,,0.708,
[13],Paleoproterozoic,,Gnaisse migmático,DP51G,138.1,222.2,0.621512151,1.81,,0.7611,
[13],Paleoproterozoic,,Gnaisse migmático,DP51R,128.1,229,0.559388646,1.63,,0.7541,
[13],Paleoproterozoic,,Gnaisse migmático,DP51H,43.6,543,0.080294659,0.23,,0.7099,
[13],Paleoproterozoic,,Gnaisse migmatítico,DP51F,121.7,237.2,0.51306914,1.49,,0.7539,
[13],Paleoproterozoic,,Gnaisse migmatítico,DP51E,138.9,297.6,0.466733871,1.36,,0.7455,
[13],Paleoproterozoic,,Gnaisse migmatítico,DP51D,122,298.7,0.408436558,1.19,,0.7387,
[13],Paleoproterozoic,,Gnaisse migmatítico,DP52J,83.8,486.1,0.172392512,0.5,,0.7174,
[2],Paleoproterozoic,,Leucossoma,SSD-B8,194.1,454.8,0.426781003,1.24,,0.7292,
[2],Paleoproterozoic,,Melanossoma,SSD-B10,73.9,507.8,0.145529736,0.42,,0.7185,
[2],Paleoproterozoic,,Migmatito,SSD-84,138.9,401.3,0.346125093,1,,0.7218,
[2],Paleoproterozoic,,Migmatito,SSD-B2,102.7,404,0.254207921,0.74,,0.7213,
[2],Paleoproterozoic,,Migmatito,SSD-B3,100,430,0.23255814,0.67,,0.7191,
[2],Paleoproterozoic,,Migmatito,SSD-81,43.5,341.2,0.127491208,0.37,,0.7188,
[2],Paleoproterozoic,,Migmatito granítico,FCZ-14,118.3,224.4,0.527183601,1.53,,0.752,
[13],Paleoproterozoic,,Migmatito granítico,CSJ-52,137,692,0.197976879,0.57,,0.7248,
[13],Paleoproterozoic,,Migmatito granodiorítico,CSJ-81B,162.4,772,0.210362694,0.61,,0.7152,
[13],Paleoproterozoic,,Migmatito granodiorítico,CSJ-21A,166.2,772.4,0.215173485,0.62,,0.7131,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,DP611,234.4,352.1,0.665719966,1.94,,0.7651,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,FCZ-13B,257.1,551.1,0.466521502,1.35,,0.7371,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,FCZ-13A,85.2,483.9,0.176069436,0.51,,0.7322,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,DP412,90,306.5,0.293637847,0.85,,0.7289,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,DP412A,79.8,372,0.214516129,0.62,,0.7256,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,DP412B,92.3,384.1,0.240302005,0.7,,0.7237,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,CF-11,122.8,445.5,0.275645342,0.8,,0.7227,
[13],Paleoproterozoic,,Migmatito quartzomonzonítico,DP11,108.1,858.7,0.12588797,0.36,,0.7157,
